name	model_index	train_f1	valid_f1	holdout_f1	decision_threshold	params	features
XGBoost	1	0.9577083837734885	0.7092923905413591	0.761904761904762	0.3369942	{'max_depth': 6, 'learning_rate': 0.005, 'subsample': 0.7, 'colsample_bytree': 0.75, 'min_child_weight': 3.0, 'gamma': 0.25, 'reg_lambda': 0.3, 'n_estimators': 1500, 'eval_metric': 'auc', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'objective': 'binary:logistic', 'num_parallel_tree': 10, 'use_label_encoder': False, 'scale_pos_weight': 1.2797558494404884}	['age', 'screen_name_sim', 'statuses', 'statuses_by_age', 'following', 'following_by_age', 'followers_by_age', 'listed', 'profile_image', 'description_upper_len', 'description_lower_len', 'description_digit_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_digit_pcnt', 'description_spec_pcnt', 'screen_name_upper_len', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_spec_pcnt', 'screen_name_len', 'name_lower_len', 'name_digit_len', 'name_lower_pcnt', 'name_digit_pcnt', 'name_spec_pcnt', 'name_len', 'screen_name_entropy', 'has_location', 'profile_url', 'total_urls', 'foll_friends', 'verified']
RandomForest	2						['age', 'screen_name_sim', 'statuses', 'statuses_by_age', 'following', 'following_by_age', 'followers_by_age', 'listed', 'profile_image', 'description_upper_len', 'description_lower_len', 'description_digit_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_digit_pcnt', 'description_spec_pcnt', 'screen_name_upper_len', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_spec_pcnt', 'screen_name_len', 'name_lower_len', 'name_digit_len', 'name_lower_pcnt', 'name_digit_pcnt', 'name_spec_pcnt', 'name_len', 'screen_name_entropy', 'has_location', 'profile_url', 'total_urls', 'foll_friends', 'verified']
