name	model_index	train_f1	valid_f1	holdout_f1	decision_threshold	params	features
XGBoost	1	0.9999934556044568	0.9956699410070566	0.9971784622619327	0.07088862	{'max_depth': 12, 'learning_rate': 0.1, 'subsample': 0.8, 'colsample_bytree': 0.65, 'min_child_weight': 1.0, 'gamma': 0.05, 'reg_lambda': 0.9, 'n_estimators': 1000, 'eval_metric': 'auc', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'objective': 'binary:logistic', 'num_parallel_tree': 10, 'use_label_encoder': False, 'scale_pos_weight': 0.1906232821130337}	['age', 'description_urls', 'statuses', 'statuses_by_age', 'following', 'following_by_age', 'followers_by_age', 'listed', 'listed_by_age', 'description_upper_len', 'description_lower_len', 'description_digit_len', 'description_spec_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_spec_pcnt', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_spec_pcnt', 'screen_name_len', 'name_upper_len', 'name_lower_len', 'name_digit_len', 'name_spec_len', 'name_upper_pcnt', 'name_lower_pcnt', 'name_digit_pcnt', 'screen_name_entropy', 'name_entropy', 'total_urls', 'verified']
RandomForest	2						['age', 'description_urls', 'statuses', 'statuses_by_age', 'following', 'following_by_age', 'followers_by_age', 'listed', 'listed_by_age', 'description_upper_len', 'description_lower_len', 'description_digit_len', 'description_spec_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_spec_pcnt', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_spec_pcnt', 'screen_name_len', 'name_upper_len', 'name_lower_len', 'name_digit_len', 'name_spec_len', 'name_upper_pcnt', 'name_lower_pcnt', 'name_digit_pcnt', 'screen_name_entropy', 'name_entropy', 'total_urls', 'verified']
