name	model_index	train_f1	valid_f1	holdout_f1	decision_threshold	params	features
XGBoost	1	0.999252646811227	0.9879899420434907	0.98379970544919	0.03397459	{'max_depth': 9, 'learning_rate': 0.005, 'subsample': 0.75, 'colsample_bytree': 0.65, 'min_child_weight': 1.0, 'gamma': 0.5, 'reg_lambda': 0.3, 'n_estimators': 3000, 'eval_metric': 'auc', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'objective': 'binary:logistic', 'num_parallel_tree': 10, 'use_label_encoder': False, 'scale_pos_weight': 0.5818121473614338}	['age', 'description_urls', 'screen_name_sim', 'statuses', 'statuses_by_age', 'following_by_age', 'listed_by_age', 'description_upper_len', 'description_lower_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_spec_pcnt', 'screen_name_lower_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_lower_pcnt', 'name_lower_len', 'name_digit_len', 'name_spec_len', 'screen_name_entropy', 'name_entropy', 'has_location', 'profile_url', 'foll_friends']
RandomForest	2						['age', 'description_urls', 'screen_name_sim', 'statuses', 'statuses_by_age', 'following_by_age', 'listed_by_age', 'description_upper_len', 'description_lower_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_spec_pcnt', 'screen_name_lower_len', 'screen_name_spec_len', 'screen_name_upper_pcnt', 'screen_name_lower_pcnt', 'name_lower_len', 'name_digit_len', 'name_spec_len', 'screen_name_entropy', 'name_entropy', 'has_location', 'profile_url', 'foll_friends']
