name	model_index	train_f1	valid_f1	holdout_f1	decision_threshold	params	features
XGBoost	1	0.9850493712286099	0.8121601415439305	0.8067837674136887	0.24112573	{'max_depth': 12, 'learning_rate': 0.1, 'subsample': 0.85, 'colsample_bytree': 0.65, 'min_child_weight': 1.0, 'gamma': 1.0, 'reg_lambda': 0.3, 'n_estimators': 1000, 'eval_metric': 'auc', 'tree_method': 'gpu_hist', 'predictor': 'gpu_predictor', 'objective': 'binary:logistic', 'num_parallel_tree': 10, 'use_label_encoder': False, 'scale_pos_weight': 0.8716619541313226}	['age', 'screen_name_sim', 'statuses', 'following', 'following_by_age', 'listed_by_age', 'profile_image', 'description_upper_len', 'description_digit_len', 'description_spec_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_digit_pcnt', 'description_spec_pcnt', 'screen_name_upper_len', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_len', 'name_lower_len', 'name_spec_len', 'name_upper_pcnt', 'name_digit_pcnt', 'has_location', 'profile_url', 'total_urls', 'verified']
RandomForest	2						['age', 'screen_name_sim', 'statuses', 'following', 'following_by_age', 'listed_by_age', 'profile_image', 'description_upper_len', 'description_digit_len', 'description_spec_len', 'description_upper_pcnt', 'description_lower_pcnt', 'description_digit_pcnt', 'description_spec_pcnt', 'screen_name_upper_len', 'screen_name_digit_len', 'screen_name_spec_len', 'screen_name_len', 'name_lower_len', 'name_spec_len', 'name_upper_pcnt', 'name_digit_pcnt', 'has_location', 'profile_url', 'total_urls', 'verified']
